Id_company,Company Name,Id_company,Address,Website ,Email ,Phone ,MST ,Establish year,Size ,Key customers ,Key Product ,Notes 
a75ky23s,Công ty Cổ phần Đầu tư Thương mại và Phát triển Công nghệ Hòa Bình - Việt Nam,a75ky23s,"Lô B7 & B8, ngõ 187 Nguyễn Tuân, Nhân Chính, Thanh Xuân, Hà Nội",https://uavvietnam.net/,admin@hoabinh.org,0243.5656.898,0106735244,,,,,
m68oe69b,Công Ty Cổ Phần Sundrone Việt Nam,m68oe69b,"U2-15 đường số 5, khu dân cư Miền Nam, Phường Hưng Phú, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam",https://sundrone.vn/,contact@sundrone.vn,052 233 7799,1801734798,,,,,
e18ju91m,CÔNG TY TNHH THIẾT BỊ BAY PHƯƠNG TÍN,e18ju91m,"Số 40 Lý Thái Tổ, Đông Kinh, Lạng Sơn",https://phuongtindrone.vn/,,056 800 0888,4900890666,,,,,
q92yc39y,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH MISMART,q92yc39y,"68 Nguyễn Huệ, phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh.",https://mismart.ai/,info@mismart.ai,1800 28 28 59,316054643,,,,,
z23gg78s,CÔNG TY TNHH DRONE SÔNG HỒNG,z23gg78s,"Thôn 1, Xã Xuân Sinh, Huyện Thọ xuân, Tỉnh Thanh Hóa",https://dronesonghong.vn/,xagsonghong@gmail.com,0985.649.219,2803035677,,,,,
a16xv50b,Công ty Cổ phần Dịch vụ Nông nghiệp MAJ (MAJ Việt Nam),a16xv50b,"Số 9, Ngõ 52 Quan Nhân, Trung Hòa,  Cầu Giấy, Hà Nội",https://maj.com.vn/,support@maj.com.vn,0868.210.632,109488459,,,,,
d44us76g,CÔNG TY CỔ PHẦN THIẾT BỊ THẮNG LỢI,d44us76g,"số 6 Hòa Mã, P. Phạm Đình Hổ, Q. Hai Bà Trưng, Tp. Hà Nội",https://victory.com.vn/,Info@victory.com.vn,0243 976 1588,100516510,,,,,
v57xk43u,CÔNG TY CỔ PHẦN THIẾT BỊ BAY AGRIDRONE VIỆT NAM,v57xk43u,"4329 Nguyễn Cửu Phú, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh",https://agridrone.vn/,contact@agridrone.vn,03 3838 9999,0316128013,,,,,
a51hj49j,CÔNG TY CỔ PHẦN THIẾT BỊ BAY DRONE VIỆT NAM,a51hj49j,"Bình Tân, Hồ Chí Minh",https://droneviet.vn/,Contact@droneviet.vn,0773 74 6666,0316128013,,,,,
r73jh70b,CÔNG TY CỔ PHẦN DIGIDRONE,r73jh70b,"Võ Văn Kiệt, Khóm 3, TT. Tràm Chim, Tam nông, Đồng Tháp",https://digidrone.vn/,contact@digidrone.vn,096 866 8899,,,,,,
y34yt99g,Viet-Flycam,y34yt99g,"167 đường số 4, Khu Đô Thị Vạn Phúc City, Thủ Đức, Hồ Chí Minh",https://vietflycam.com/,Vietflycam@gmail.com,0782 333 399,,,,,,
e67ln11f,DJI VIETNAM | FLYCAMPRO,e67ln11f,"15 Lý Thái Tổ, P1, Q10, Tp HCM",https://flycampro.vn/,Info.FlycamPro@gmail.com,028.3835.3962,0315045572,,,,,
t79oj16d,TẬP ĐOÀN CT GROUP,t79oj16d,"Léman Building – 20 Trương Định, Quận 3, TP.Hồ Chí Minh",https://ctgroupvietnam.com/,info@ctgroupvietnam.com,(+84) 911 807 668 ,0308469355,,,,,
e86jq98e,AGS Technologies,e86jq98e,"14 Trần Hưng Đạo, Hà Nội, Việt Nam",https://agstech.vn/,contact@agstech.vn,07 9988 5588,,,,,,
r45gz63c,CÔNG TY CỔ PHẦN CÔNG NGHỆ NGUYỄN KIM,r45gz63c,Số 17 ngõ 1/3 Vũ Trọng Khánh - Mộ Lao - Hà Đông - Hà Nội,https://nguyenkimjsc.vn/,thietbidodac.vn@gmail.com,024.22 459 594,,,,,,
b75gq98z,CÔNG TY CỔ PHẦN THIẾT BỊ BAY CÁNH DIỀU VIỆT,b75gq98z,"647/24A Quốc lộ 13, phường Hiệp Bình Phước, TP. Thủ Đức, Hồ Chí Minh.",https://canhdieuviet.vn/,contact@canhdieuviet.vn,05 66 55 88 99 ,0317560868,,,,,
d44xa48n,CÔNG TY CỔ PHẦN ĐẠI THÀNH,d44xa48n,"Số 4, Phố Dã Tượng, Đ. Lê Văn Thịnh, P. Suối Hoa, TP Bắc Ninh.",https://globalcheck.com.vn/,cskh@daithanhtech.com,02223893 528,2300246223,,,,,
n76ja44q,CÔNG TY CỔ PHẦN AIRNANO VIỆT NAM,n76ja44q,"Số 50, đường Nguyễn Hữu Thọ, Phường Xuân Phú, Thành phố Huế",https://www.airnano.vn/,,0989.75.6688 ,3301709973,,,,,
i66dk91v,CÔNG TY TNHH ĐẤT HỢP,i66dk91v,"Số 2, Đường số 4, Khu nhà ở Vạn Phúc 1, P. Hiệp Bình Phước, TP. Thủ Đức, TP. HCM",https://dathop.com/,cskh@dathop.com.vn,0283 6208 606,0302 919 086,,,,,
n93xo54u,Linh Kiện Store ,n93xo54u,15 Thăng Long P.4 Q. Tân Bình Tp. HCM,https://linhkienstore.vn/,Xuanluu@linhkienstore.vn,0937 374 784,,,,,,
q57hu71h,GTECHSTORE,q57hu71h,"LK09 Khu Ngoại Giao Đoàn, Tây Hồ, Hà Nội",https://www.gtechstore.vn/,gtechstorehn.vn@gmail.com,036 402 6855,,,,,,
y93pk40h,VNFAST DOKI DOKIMI,y93pk40h,"4324/4 Nguyễn Cửu Phú, Tân Tạo A, Bình Tân",https://dokimi.vn/,ngoducphu89@gmail.com,0397999396/0962623839,,,,,,
o22rl47e,HOBBYTECH,o22rl47e,Tầng 1B số 159 Bạch Đằng - Phường Thượng Lý - Quận Hồng Bàng - TP Hải Phòng,https://hobbytech.vn/,admin@hobbytech.vn,0886.54.1886,0202127658,,,,,
h96va56t,CÔNG TY TNHH CÔNG NGHỆ ABM VIỆT NAM,h96va56t,"Phòng 408, Lầu 3, 296 Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",https://abm-vietnam.com/,abmvietnam@hotmail.com,090 870 0277,0312008491,,,,,
j15if16s,AONIC (HQ),j15if16s,"Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh",https://aonic.com/vn/,info.vn@patricklee.xyz,028 3535 0740,0317461257,,,,,
i32es43q,XAG MeKong,i32es43q,"Khóm 3, Thị Trấn Tràm Chim, Tam Nông, Đồng Tháp",https://xagmekong.vn/,sales@xagmekong.com,0794.133.133,0316958053,,,,,
q93og42m,Shop Đồ Chơi Điều Khiển Quận 10,q93og42m,"Hẽm 162 Trần Nhân Tôn ,Phường 2, Quận 10, Tp HCM (Vô hẽm 20m)",https://shoptoy.vn/,cskh@shoptoy.vn,0902 500 053,,,,,,
