Id_company,Company Name,Id_company,Address
a75ky23s,Công ty Cổ phần Đầu tư Thương mại và Phát triển Công nghệ Hòa Bình - Việt Nam,a75ky23s,"Lô B7 & B8, ngõ 187 Nguyễn Tuân, Nhân Chính, Thanh Xuân, Hà Nội"
m68oe69b,Công Ty Cổ Phần Sundrone Việt Nam,m68oe69b,"U2-15 đường số 5, khu dân cư Miền Nam, Phường Hưng Phú, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam"
e18ju91m,CÔNG TY TNHH THIẾT BỊ BAY PHƯƠNG TÍN,e18ju91m,"Số 40 Lý Thái Tổ, Đông Kinh, Lạng Sơn"
q92yc39y,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH MISMART,q92yc39y,"68 Nguyễn Huệ, phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh."
z23gg78s,CÔNG TY TNHH DRONE SÔNG HỒNG,z23gg78s,"Thôn 1, Xã Xuân Sinh, Huyện Thọ xuân, Tỉnh Thanh Hóa"
a16xv50b,Công ty Cổ phần Dịch vụ Nông nghiệp MAJ (MAJ Việt Nam),a16xv50b,"Số 9, Ngõ 52 Quan Nhân, Trung Hòa,  Cầu Giấy, Hà Nội"
d44us76g,CÔNG TY CỔ PHẦN THIẾT BỊ THẮNG LỢI,d44us76g,"số 6 Hòa Mã, P. Phạm Đình Hổ, Q. Hai Bà Trưng, Tp. Hà Nội"
v57xk43u,CÔNG TY CỔ PHẦN THIẾT BỊ BAY AGRIDRONE VIỆT NAM,v57xk43u,"4329 Nguyễn Cửu Phú, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh"
a51hj49j,CÔNG TY CỔ PHẦN THIẾT BỊ BAY DRONE VIỆT NAM,a51hj49j,"Bình Tân, Hồ Chí Minh"
r73jh70b,CÔNG TY CỔ PHẦN DIGIDRONE,r73jh70b,"Võ Văn Kiệt, Khóm 3, TT. Tràm Chim, Tam nông, Đồng Tháp"
y34yt99g,Viet-Flycam,y34yt99g,"167 đường số 4, Khu Đô Thị Vạn Phúc City, Thủ Đức, Hồ Chí Minh"
